SKU,Order_Date,Product_Type,Price,Availability,Number_Products_Sold,Revenue_Generated,Customer_Region,Customer_Segment,Supplier_Name,Supplier_Defect_Rate,Inspection_Result,Defect_Rate,Return_Reason,Return_Date,Refund_Status,Shipping_Carrier,Shipping_Cost,Transport_Mode,Lead_Time,Manufacturing_Lead_Time,Shipping_Time,Notes,Order_Month,Is_Return
SKU10000,2024-09-09 21:29:37.847990,Laptop,1356.6,In Stock,16,21705.6,West,Regular,Supplier_A,1.29,Pass,0.81,Unknown,,,Carrier_X,72.74,Ground,41,8,3,,2024-09,0
SKU10001,2025-03-04 21:29:37.847990,Smartphone,658.94,In Stock,32,21086.08,North,Regular,Supplier_B,3.3,Pass,2.86,Unknown,,,Carrier_X,58.75,Air,12,4,2,,2025-03,0
SKU10002,2025-01-16 21:29:37.847990,Laptop,965.52,In Stock,8,7724.16,West,Regular,Supplier_D,2.43,,2.43,Unknown,,,Carrier_Z,73.3,Air,29,7,1,,2025-01,0
SKU10003,2024-10-09 21:29:37.847990,Smartwatch,600.0,In Stock,19,11400.0,East,Wholesale,Supplier_D,1.38,Pass,0.91,Defective,2024-10-27 21:29:37.847990,Pending,Carrier_X,22.52,Ground,32,9,4,,2024-10,1
SKU10004,2025-01-07 21:29:37.847990,Smartphone,568.92,In Stock,19,10809.48,Central,Regular,Supplier_D,2.45,Pass,2.35,Unknown,,,Carrier_Y,25.49,Ground,33,6,9,,2025-01,0
SKU10005,2024-10-05 21:29:37.847990,Smartphone,616.57,In Stock,24,14797.68,Central,Regular,Supplier_B,2.53,Pass,2.07,Wrong Product,2024-10-18 21:29:37.847990,Rejected,Carrier_X,29.71,Ground,19,8,5,,2024-10,1
SKU10006,2025-03-17 21:29:37.847990,Headphones,89.5,In Stock,27,2416.5,Central,Premium,Supplier_D,0.83,Pass,0.5,Unknown,,,Carrier_Z,6.3,Air,17,8,1,,2025-03,0
SKU10007,2025-02-17 21:29:37.847990,Smartwatch,445.07,In Stock,11,4895.77,South,Premium,Supplier_B,1.78,Pass,1.64,Unknown,,,Carrier_Z,36.19,Air,20,5,3,,2025-02,0
SKU10008,2025-04-22 21:29:37.847990,Smartphone,624.41,Out of Stock,22,13737.02,South,Regular,Supplier_A,0.87,Pass,0.6,Unknown,,,Carrier_Z,30.79,Ground,30,10,9,,2025-04,0
SKU10009,2025-03-03 21:29:37.847990,Laptop,1819.2,Out of Stock,47,85502.40000000001,West,Wholesale,Supplier_B,2.49,Pass,2.47,Unknown,,,Carrier_Y,161.98,Air,25,7,1,,2025-03,0
SKU10010,2025-02-23 21:29:37.847990,Smartwatch,254.17,Out of Stock,9,2287.53,South,Regular,Supplier_A,0.76,Pass,0.65,Unknown,,,Carrier_Y,17.02,Air,13,5,1,,2025-02,0
SKU10011,2025-03-09 21:29:37.847990,Smartphone,516.28,In Stock,42,21683.76,West,Premium,Supplier_E,4.44,Pass,4.27,Unknown,,,Carrier_X,32.45,Air,10,5,1,,2025-03,0
SKU10012,2024-12-23 21:29:37.847990,Smartphone,400.0,In Stock,90,36000.0,South,Wholesale,Supplier_E,3.54,Pass,3.17,Unknown,,,Carrier_W,17.7,Ground,30,4,9,,2024-12,0
SKU10013,2024-11-16 21:29:37.847990,Smartphone,846.01,In Stock,41,34686.41,Central,Premium,Supplier_B,2.48,Pass,2.27,Unknown,,,Carrier_Y,72.44,Air,13,6,3,,2024-11,0
SKU10014,2024-06-10 21:29:37.847990,Smartphone,887.13,In Stock,59,52340.67,East,Wholesale,Supplier_B,2.65,Pass,2.35,Unknown,,,Carrier_Y,79.17,Air,13,9,3,,2024-06,0
SKU10015,2024-07-07 21:29:37.847990,Tablet,457.68,In Stock,16,7322.88,South,Regular,Supplier_D,2.28,Pass,1.86,Unknown,,,Carrier_W,39.05,Air,17,3,1,,2024-07,0
SKU10016,2024-07-03 21:29:37.847990,Smartwatch,600.0,In Stock,28,16800.0,West,Wholesale,Supplier_A,0.98,Fail,2.94,Defective,2024-07-26 21:29:37.847990,Completed,Carrier_Z,27.33,Air,28,7,3,,2024-07,1
SKU10017,2024-09-15 21:29:37.847990,Smartphone,635.41,Out of Stock,26,16520.66,South,Premium,Supplier_A,2.11,Fail,4.93,Unknown,,,Carrier_X,17.18,Sea,54,5,16,,2024-09,0
SKU10018,2024-11-16 21:29:37.847990,Smartwatch,272.52,In Stock,5,1362.6,North,Regular,Supplier_A,2.45,,2.45,Changed Mind,2024-11-19 21:29:37.847990,Completed,Carrier_Y,13.59,Air,28,6,3,,2024-11,1
SKU10019,2024-09-25 21:29:37.847990,Smartphone,1200.0,In Stock,17,20400.0,West,Regular,Supplier_B,3.43,Pass,3.05,Unknown,,,Carrier_Z,37.59,Ground,37,4,9,Start thank wait.,2024-09,0
SKU10020,2024-07-10 21:29:37.847990,Laptop,1824.97,In Stock,32,58399.04,East,Premium,Supplier_C,5.89,,5.89,Other,2024-08-04 21:29:37.847990,Completed,Carrier_X,99.35,Air,16,9,1,,2024-07,1
SKU10021,2025-03-15 21:29:37.847990,Tablet,560.96,In Stock,31,17389.760000000002,North,Wholesale,Supplier_E,4.6,Pass,4.35,Unknown,,,Carrier_X,21.5,Ground,21,6,3,,2025-03,0
SKU10022,2024-08-18 21:29:37.847990,Smartwatch,269.59,Out of Stock,6,1617.54,South,Regular,Supplier_A,1.05,Pass,0.73,Unknown,,,Carrier_Z,9.01,Ground,47,7,9,,2024-08,0
SKU10023,2024-08-12 21:29:37.847990,Smartphone,1184.97,Out of Stock,18,21329.46,Central,Regular,Supplier_E,3.41,Pass,3.07,Unknown,,,Carrier_W,98.67,Air,27,6,3,Case foreign final language manage office left.,2024-08,0
SKU10024,2025-02-24 21:29:37.847990,Smartphone,895.73,In Stock,9,8061.57,South,Regular,Supplier_C,5.38,,5.38,Late Delivery,2025-03-15 21:29:37.847990,Completed,Carrier_Z,41.3,Air,18,7,3,,2025-02,1
SKU10025,2025-05-06 21:29:37.847990,Laptop,996.28,In Stock,30,29888.4,North,Premium,Supplier_E,3.5,Pass,3.46,Unknown,,,Carrier_Z,65.61,Air,18,5,3,,2025-05,0
SKU10026,2025-03-24 21:29:37.847990,Smartphone,400.0,In Stock,21,8400.0,East,Regular,Supplier_D,2.45,Pass,2.14,Unknown,,,Carrier_X,33.88,Air,38,6,2,,2025-03,0
SKU10027,2024-07-26 21:29:37.847990,Smartphone,1104.14,In Stock,31,34228.340000000004,South,Regular,Supplier_A,2.36,Pass,2.24,Unknown,,,Carrier_X,41.12,Ground,16,4,4,,2024-07,0
SKU10028,2024-10-31 21:29:37.847990,Smartwatch,197.36,In Stock,7,1381.52,East,Regular,Supplier_C,4.34,Pass,4.26,Changed Mind,2024-11-18 21:29:37.847990,Completed,Carrier_W,16.74,Air,25,8,3,,2024-10,1
SKU10029,2024-09-21 21:29:37.847990,Smartphone,844.44,In Stock,37,31244.28,West,Premium,Supplier_A,2.02,Pass,1.52,Unknown,,,Carrier_Z,26.71,Ground,23,6,6,,2024-09,0
SKU10030,2024-06-27 21:29:37.847990,Laptop,1619.64,Out of Stock,34,55067.76,West,Premium,Supplier_A,1.56,Pass,1.35,Unknown,,,Carrier_X,71.04,Ground,26,8,5,,2024-06,0
SKU10031,2025-01-01 21:29:37.847990,Headphones,241.5,In Stock,9,2173.5,East,Regular,Supplier_B,3.18,,3.18,Unknown,,,Carrier_X,13.39,Ground,34,5,3,,2025-01,0
SKU10032,2024-07-29 21:29:37.847990,Smartphone,686.81,Out of Stock,26,17857.059999999998,North,Regular,Supplier_D,1.46,Pass,1.05,Unknown,,,Carrier_X,21.31,Ground,15,9,3,Similar these we human.,2024-07,0
SKU10033,2024-07-23 21:29:37.847990,Laptop,993.42,In Stock,13,12914.46,East,Regular,Supplier_C,4.8,,4.8,Defective,2024-08-07 21:29:37.847990,Pending,Carrier_Y,61.88,Air,13,7,3,,2024-07,1
SKU10034,2024-07-07 21:29:37.847990,Smartphone,1200.0,In Stock,33,39600.0,North,Regular,Supplier_A,1.06,Pass,0.64,Unknown,,,Carrier_Y,87.92,Air,32,7,3,,2024-07,0
SKU10035,2025-03-02 21:29:37.847990,Smartwatch,335.78,In Stock,19,6379.82,West,Premium,Supplier_D,2.01,Pass,1.95,Unknown,,,Carrier_X,28.54,Air,37,7,1,Can property enjoy amount college above.,2025-03,0
SKU10036,2024-07-04 21:29:37.847990,Tablet,900.0,Out of Stock,30,27000.0,South,Premium,Supplier_E,4.25,Fail,5.75,Unknown,,,Carrier_Y,29.48,Sea,40,6,22,,2024-07,0
SKU10037,2024-08-09 21:29:37.847990,Smartphone,821.31,In Stock,33,27103.23,South,Premium,Supplier_A,1.31,Pass,0.96,Unknown,,,Carrier_Y,47.53,Air,41,5,3,,2024-08,0
SKU10038,2024-10-31 21:29:37.847990,Smartwatch,572.52,In Stock,13,7442.76,East,Regular,Supplier_B,3.18,Pass,3.02,Unknown,,,Carrier_Z,15.84,Sea,47,9,16,,2024-10,0
SKU10039,2025-01-12 21:29:37.847990,Laptop,1060.1,Out of Stock,15,15901.499999999998,West,Regular,Supplier_C,4.68,Pass,4.52,Late Delivery,2025-01-30 21:29:37.847990,Completed,Carrier_Y,44.31,Ground,13,8,6,,2025-01,1
SKU10040,2025-01-13 21:29:37.847990,Headphones,189.86,In Stock,7,1329.02,West,Regular,Supplier_E,5.04,Pass,4.56,Unknown,,,Carrier_Y,10.11,Ground,25,11,7,,2025-01,0
SKU10041,2025-01-30 21:29:37.847990,Headphones,166.52,In Stock,8,1332.16,South,Regular,Supplier_A,0.64,Pass,0.2,Unknown,,,Carrier_W,9.74,Air,37,5,3,,2025-01,0
SKU10042,2024-07-22 21:29:37.847990,Laptop,2000.0,In Stock,22,44000.0,East,Regular,Supplier_C,4.8,,4.8,Unknown,,,Carrier_X,121.48,Air,12,5,2,,2024-07,0
SKU10043,2024-10-09 21:29:37.847990,Smartphone,1200.0,In Stock,36,43200.0,North,Premium,Supplier_E,4.4,Pass,4.12,Unknown,,,Carrier_Y,48.73,Ground,31,8,7,,2024-10,0
SKU10044,2025-04-29 21:29:37.847990,Smartphone,400.0,In Stock,21,8400.0,East,Regular,Supplier_C,5.34,,5.34,Changed Mind,2025-05-19 21:29:37.847990,Completed,Carrier_Z,19.3,Air,18,5,1,,2025-04,1
SKU10045,2024-10-08 21:29:37.847990,Laptop,1692.7,In Stock,18,30468.6,South,Regular,Supplier_D,2.15,Pass,2.08,Unknown,,,Carrier_X,137.18,Air,21,10,1,,2024-10,0
SKU10046,2025-04-14 21:29:37.847990,Smartwatch,320.17,In Stock,26,8324.42,South,Wholesale,Supplier_D,1.9,Fail,3.42,Unknown,,,Carrier_Y,27.34,Air,29,6,1,,2025-04,0
SKU10047,2025-05-06 21:29:37.847990,Smartphone,674.7,In Stock,16,10795.2,East,Regular,Supplier_B,3.51,,3.51,Unknown,,,Carrier_X,35.21,Ground,27,7,3,,2025-05,0
SKU10048,2024-07-09 21:29:37.847990,Smartphone,1010.07,In Stock,28,28281.960000000003,North,Regular,Supplier_A,1.54,,1.54,Unknown,,,Carrier_X,77.86,Air,13,10,1,Environmental walk buy start because.,2024-07,0
SKU10049,2024-12-27 21:29:37.847990,Smartwatch,462.39,Out of Stock,11,5086.29,East,Regular,Supplier_C,5.04,Fail,7.14,Changed Mind,2025-01-02 21:29:37.847990,Completed,Carrier_X,24.68,Ground,20,3,5,,2024-12,1
SKU10050,2025-03-15 21:29:37.847990,Tablet,900.0,In Stock,24,21600.0,South,Premium,Supplier_B,2.53,Pass,2.18,Unknown,,,Carrier_Z,45.93,Ground,28,7,7,,2025-03,0
SKU10051,2025-02-21 21:29:37.847990,Smartwatch,580.24,Out of Stock,8,4641.92,South,Premium,Supplier_B,2.97,Fail,5.97,Defective,2025-02-27 21:29:37.847990,Pending,Carrier_Y,40.63,Air,17,6,3,,2025-02,1
SKU10052,2025-05-17 21:29:37.847990,Laptop,835.67,Out of Stock,18,15042.06,East,Regular,Supplier_D,1.52,Pass,1.21,Other,2025-06-02 21:29:37.847990,Completed,Carrier_X,37.63,Air,38,8,2,,2025-05,1
SKU10053,2025-02-18 21:29:37.847990,Laptop,1123.78,Out of Stock,45,50570.1,East,Wholesale,Supplier_B,2.98,Pass,2.68,Late Delivery,2025-02-26 21:29:37.847990,Pending,Carrier_Y,35.33,Sea,44,9,27,,2025-02,1
SKU10054,2024-06-07 21:29:37.847990,Laptop,893.39,In Stock,20,17867.8,Central,Regular,Supplier_B,2.52,Pass,2.27,Unknown,,,Carrier_Z,39.73,Ground,21,6,7,,2024-06,0
SKU10055,2024-07-01 21:29:37.847990,Smartphone,400.0,In Stock,20,8000.0,West,Regular,Supplier_D,2.54,Pass,2.49,Unknown,,,Carrier_Z,20.18,Air,19,7,3,,2024-07,0
SKU10056,2024-10-12 21:29:37.847990,Smartphone,604.93,In Stock,26,15728.179999999998,North,Regular,Supplier_D,2.72,Fail,5.4,Unknown,,,Carrier_Z,33.55,Ground,24,9,4,,2024-10,0
SKU10057,2024-10-16 21:29:37.847990,Smartphone,588.26,In Stock,33,19412.58,East,Premium,Supplier_D,2.27,Pass,2.27,Unknown,,,Carrier_Z,34.42,Ground,43,7,7,,2024-10,0
SKU10058,2024-12-07 21:29:37.847990,Smartphone,443.75,Out of Stock,53,23518.75,West,Premium,Supplier_C,5.47,Fail,7.05,Defective,2024-12-10 21:29:37.847990,Rejected,Carrier_X,21.35,Air,13,7,1,,2024-12,1
SKU10059,2025-04-01 21:29:37.847990,Laptop,929.68,In Stock,15,13945.2,North,Regular,Supplier_A,1.07,Pass,0.96,Unknown,,,Carrier_Z,34.29,Ground,21,9,9,,2025-04,0
SKU10060,2024-11-14 21:29:37.847990,Laptop,1042.96,In Stock,17,17730.32,East,Regular,Supplier_D,2.42,,2.42,Unknown,,,Carrier_Y,48.44,Ground,34,8,6,,2024-11,0
SKU10061,2025-04-16 21:29:37.847990,Laptop,1484.3,In Stock,51,75699.3,Central,Wholesale,Supplier_E,4.32,Pass,3.95,Unknown,,,Carrier_Y,56.02,Ground,34,4,7,,2025-04,0
SKU10062,2025-03-08 21:29:37.847990,Headphones,230.8,In Stock,11,2538.8,Central,Regular,Supplier_D,1.56,Pass,1.5,Unknown,,,Carrier_Y,7.31,Ground,26,5,6,,2025-03,0
SKU10063,2025-03-08 21:29:37.847990,Smartphone,571.58,In Stock,21,12003.18,North,Regular,Supplier_D,2.5,Pass,2.21,Unknown,,,Carrier_Y,48.74,Air,27,6,3,,2025-03,0
SKU10064,2024-07-08 21:29:37.847990,Tablet,426.65,In Stock,19,8106.349999999999,South,Regular,Supplier_B,3.15,Pass,2.7,Unknown,,,Carrier_Z,27.97,Air,27,5,3,,2024-07,0
SKU10065,2025-05-11 21:29:37.847990,Tablet,414.65,In Stock,36,14927.4,North,Wholesale,Supplier_B,3.11,Pass,3.09,Unknown,,,Carrier_W,23.14,Ground,18,9,4,,2025-05,0
SKU10066,2025-03-21 21:29:37.847990,Headphones,86.25,Out of Stock,15,1293.75,West,Regular,Supplier_C,4.58,Pass,4.44,Defective,2025-04-02 21:29:37.847990,Completed,Carrier_W,2.61,Ground,13,7,6,,2025-03,1
SKU10067,2025-03-25 21:29:37.847990,Laptop,1209.12,In Stock,21,25391.52,East,Regular,Supplier_A,1.03,Pass,0.79,Unknown,,,Carrier_Z,85.48,Air,13,7,1,,2025-03,0
SKU10068,2025-04-15 21:29:37.847990,Laptop,2000.0,In Stock,25,50000.0,West,Premium,Supplier_C,5.83,Pass,5.8,Changed Mind,2025-05-13 21:29:37.847990,Completed,Carrier_W,179.81,Air,25,5,3,Health bring best eight.,2025-04,1
SKU10069,2025-01-05 21:29:37.847990,Smartphone,1200.0,In Stock,22,26400.0,West,Regular,Supplier_D,2.4,Pass,2.13,Unknown,,,Carrier_Y,35.73,Sea,47,7,19,,2025-01,0
SKU10070,2024-07-23 21:29:37.847990,Smartphone,870.05,In Stock,31,26971.55,West,Regular,Supplier_A,2.08,,2.08,Unknown,,,Carrier_Z,31.06,Ground,16,5,4,,2024-07,0
SKU10071,2025-01-15 21:29:37.847990,Smartphone,1049.3,In Stock,11,11542.3,West,Regular,Supplier_D,1.85,,1.85,Unknown,,,Carrier_Y,22.82,Sea,60,6,28,,2025-01,0
SKU10072,2025-03-13 21:29:37.847990,Smartphone,800.45,In Stock,21,16809.45,East,Regular,Supplier_D,2.04,Pass,1.78,Wrong Product,2025-04-11 21:29:37.847990,Completed,Carrier_Z,69.06,Air,27,3,3,,2025-03,1
