Product_Type,Date,Year,Month,Month_Name,Quarter,Year_Month,Data_Type,Is_Forecast,Is_Historical,Actual_Value,Forecast_Value,Best_Model_Forecast,ARIMA_Forecast,Prophet_Forecast,Naive_Forecast,Moving_Avg_Forecast,Trend_Forecast,Best_Model,Model_MAE,Model_RMSE,Model_MAPE,Data_Points_Available,Growth_Rate_Percent,Seasonality_Score,Volatility_Percent,Min_Historical_Value,Max_Historical_Value,Avg_Historical_Value,Last_Historical_Value,Forecast_Periods,Revenue_Column_Used,Analysis_Date,Period_Number,Is_Recent_3_Months,Is_Recent_6_Months,Is_Recent_12_Months,Forecast_Confidence,Forecast_Period_Number,YoY_Growth
Headphones,2024-05-01,2024,5,May,Q2,2024-05,Historical,False,True,65307.29,,,,,,,,Naive,68924.26,82592.97,11.15,13,82.65,34.73,34.73,65307.29,939020.47,618620.02,503773.4,6,Revenue_Generated,2025-06-29 11:31:10,1,False,False,False,Medium,,
Headphones,2024-06-01,2024,6,June,Q2,2024-06,Historical,False,True,718447.61,,,,,,,,Naive,68924.26,82592.97,11.15,13,82.65,34.73,34.73,65307.29,939020.47,618620.02,503773.4,6,Revenue_Generated,2025-06-29 11:31:10,2,False,False,True,Medium,,
Headphones,2024-07-01,2024,7,July,Q3,2024-07,Historical,False,True,700915.27,,,,,,,,Naive,68924.26,82592.97,11.15,13,82.65,34.73,34.73,65307.29,939020.47,618620.02,503773.4,6,Revenue_Generated,2025-06-29 11:31:10,3,False,False,True,Medium,,
Headphones,2024-08-01,2024,8,August,Q3,2024-08,Historical,False,True,640549.97,,,,,,,,Naive,68924.26,82592.97,11.15,13,82.65,34.73,34.73,65307.29,939020.47,618620.02,503773.4,6,Revenue_Generated,2025-06-29 11:31:10,4,False,False,True,Medium,,
Headphones,2024-09-01,2024,9,September,Q3,2024-09,Historical,False,True,571131.64,,,,,,,,Naive,68924.26,82592.97,11.15,13,82.65,34.73,34.73,65307.29,939020.47,618620.02,503773.4,6,Revenue_Generated,2025-06-29 11:31:10,5,False,False,True,Medium,,
Headphones,2024-10-01,2024,10,October,Q4,2024-10,Historical,False,True,662940.44,,,,,,,,Naive,68924.26,82592.97,11.15,13,82.65,34.73,34.73,65307.29,939020.47,618620.02,503773.4,6,Revenue_Generated,2025-06-29 11:31:10,6,False,False,True,Medium,,
Headphones,2024-11-01,2024,11,November,Q4,2024-11,Historical,False,True,921381.6,,,,,,,,Naive,68924.26,82592.97,11.15,13,82.65,34.73,34.73,65307.29,939020.47,618620.02,503773.4,6,Revenue_Generated,2025-06-29 11:31:10,7,False,False,True,Medium,,
Headphones,2024-12-01,2024,12,December,Q4,2024-12,Historical,False,True,939020.47,,,,,,,,Naive,68924.26,82592.97,11.15,13,82.65,34.73,34.73,65307.29,939020.47,618620.02,503773.4,6,Revenue_Generated,2025-06-29 11:31:10,8,False,True,True,Medium,,
Headphones,2025-01-01,2025,1,January,Q1,2025-01,Historical,False,True,530270.97,,,,,,,,Naive,68924.26,82592.97,11.15,13,82.65,34.73,34.73,65307.29,939020.47,618620.02,503773.4,6,Revenue_Generated,2025-06-29 11:31:10,9,False,True,True,Medium,,
Headphones,2025-02-01,2025,2,February,Q1,2025-02,Historical,False,True,538887.69,,,,,,,,Naive,68924.26,82592.97,11.15,13,82.65,34.73,34.73,65307.29,939020.47,618620.02,503773.4,6,Revenue_Generated,2025-06-29 11:31:10,10,False,True,True,Medium,,
Headphones,2025-03-01,2025,3,March,Q1,2025-03,Historical,False,True,577290.87,,,,,,,,Naive,68924.26,82592.97,11.15,13,82.65,34.73,34.73,65307.29,939020.47,618620.02,503773.4,6,Revenue_Generated,2025-06-29 11:31:10,11,True,True,True,Medium,,
Headphones,2025-04-01,2025,4,April,Q2,2025-04,Historical,False,True,672143.0,,,,,,,,Naive,68924.26,82592.97,11.15,13,82.65,34.73,34.73,65307.29,939020.47,618620.02,503773.4,6,Revenue_Generated,2025-06-29 11:31:10,12,True,True,True,Medium,,
Headphones,2025-05-01,2025,5,May,Q2,2025-05,Historical,False,True,503773.4,,,,,,,,Naive,68924.26,82592.97,11.15,13,82.65,34.73,34.73,65307.29,939020.47,618620.02,503773.4,6,Revenue_Generated,2025-06-29 11:31:10,13,True,True,True,Medium,,671.39
